environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions,instance_id,instance_name,family,training_seed
77890,intercepted,1,0,0,0,72,10,5.0,62,72.0,36.0,5.719353199005127,0,1.0856576997136314,1.4171652793884277,1.1881412161978155,63,0,0,61,1,72,62,rmpc,rmpc,RMPC,
77891,intercepted,1,0,0,0,23,11,5.5,12,23.0,11.5,4.305788516998291,0,0.976986112502905,0.802381694316864,1.0512510481475603,13,0,0,11,1,23,12,rmpc,rmpc,RMPC,
77892,intercepted,1,0,0,0,38,12,6.0,26,38.0,19.0,9.574684143066406,0,0.9248478600272426,1.1077969074249268,1.028463445879221,27,0,0,25,1,38,26,rmpc,rmpc,RMPC,
77893,intercepted,1,0,0,0,78,66,33.0,12,78.0,39.0,12.496251106262207,0,1.3917069618518536,2.809493064880371,1.5097363367710022,13,0,0,11,1,78,12,rmpc,rmpc,RMPC,
77894,intercepted,1,0,0,0,93,83,41.5,10,93.0,46.5,8.809921264648438,0,1.0031217445026746,1.2120087146759033,1.1372586678755785,11,0,0,9,1,93,10,rmpc,rmpc,RMPC,
77895,soldier_caught,0,1,0,0,87,9,4.5,78,,,1.4676436185836792,0,1.1646962833555439,0.7044655680656433,1.2559160032195962,79,0,0,77,1,87,78,rmpc,rmpc,RMPC,
77896,intercepted,1,0,0,0,80,9,4.5,71,80.0,40.0,12.489233016967773,0,1.1742641735408041,0.9602299928665161,1.2589404667150732,72,0,0,70,1,80,71,rmpc,rmpc,RMPC,
77897,intercepted,1,0,0,0,508,9,4.5,499,508.0,254.0,3.1746675968170166,0,1.176684704184532,1.1465808153152466,1.265289828909137,500,0,0,497,2,508,499,rmpc,rmpc,RMPC,
77898,soldier_caught,0,1,0,0,364,10,5.0,354,,,0.7368645668029785,0,1.1285640988656334,1.4924603700637817,1.2288339921257487,355,0,0,353,1,364,354,rmpc,rmpc,RMPC,
77899,intercepted,1,0,0,0,390,12,6.0,378,390.0,195.0,4.424062728881836,0,1.163367462464876,1.1103726625442505,1.255192020731917,379,0,0,377,1,390,378,rmpc,rmpc,RMPC,
77900,soldier_caught,0,1,0,0,594,15,7.5,579,,,1.247681736946106,0,1.127549841434791,1.1626875400543213,1.2288399030360115,580,0,0,578,1,594,579,rmpc,rmpc,RMPC,
77901,intercepted,1,0,0,0,293,8,4.0,285,293.0,146.5,3.574769973754883,0,1.1022938920797167,1.0486137866973877,1.1942580463163994,286,0,0,284,1,293,285,rmpc,rmpc,RMPC,
77902,intercepted,1,0,0,0,197,13,6.5,184,197.0,98.5,8.270164489746094,0,1.1076304688646987,2.03873610496521,1.208697888332981,185,0,0,183,1,197,184,rmpc,rmpc,RMPC,
77903,intercepted,1,0,0,0,107,10,5.0,97,107.0,53.5,4.027024745941162,0,1.1614147914307458,0.9721931219100952,1.2534059229805303,98,0,0,96,1,107,97,rmpc,rmpc,RMPC,
77904,intercepted,1,0,0,0,650,10,5.0,640,650.0,325.0,2.449676513671875,0,1.1144005890801991,1.5846385955810547,1.2154298776413954,641,0,0,639,1,650,640,rmpc,rmpc,RMPC,
77905,intercepted,1,0,0,0,162,11,5.5,151,162.0,81.0,3.979498863220215,0,1.0902743137588626,1.3085298538208008,1.1707030037945862,152,0,0,150,1,162,151,rmpc,rmpc,RMPC,
77906,unsafe_intercept,0,0,1,0,11,9,4.5,2,,,3.3795032501220703,0,1.1416821082433064,0.3872939348220825,1.46455451886139,3,0,0,1,1,11,2,rmpc,rmpc,RMPC,
77907,intercepted,1,0,0,0,429,59,29.5,370,429.0,214.5,2.7928378582000732,0,1.1041960270417668,0.7221092581748962,1.198839750183883,371,0,0,369,1,429,370,rmpc,rmpc,RMPC,
77908,intercepted,1,0,0,0,14,12,6.0,2,14.0,7.0,4.182957172393799,0,1.2267979383468628,0.8666448593139648,1.2619827402580208,3,0,0,1,1,14,2,rmpc,rmpc,RMPC,
77909,soldier_caught,0,1,0,0,549,9,4.5,540,,,0.8895186185836792,0,1.1453859848478145,1.1258175373077393,1.2435812845769267,541,0,0,539,1,549,540,rmpc,rmpc,RMPC,
77910,intercepted,1,0,0,0,571,13,6.5,558,571.0,285.5,2.317237377166748,0,1.1392795161772287,1.3714556694030762,1.2386513850873975,559,0,0,557,1,571,558,rmpc,rmpc,RMPC,
77911,intercepted,1,0,0,0,33,11,5.5,22,33.0,16.5,3.8715760707855225,0,1.2193815319434456,0.8522480726242065,1.2816812541245104,23,0,0,21,1,33,22,rmpc,rmpc,RMPC,
77912,intercepted,1,0,0,0,127,12,6.0,115,127.0,63.5,9.680132865905762,0,1.2268205442433726,1.063683032989502,1.3158510320171204,116,0,0,114,1,127,115,rmpc,rmpc,RMPC,
77913,intercepted,1,0,0,0,126,108,54.0,18,126.0,63.0,13.041304588317871,0,1.038942430364458,0.6367377042770386,1.141747787422492,19,0,0,17,1,126,18,rmpc,rmpc,RMPC,
77914,intercepted,1,0,0,0,725,10,5.0,715,725.0,362.5,5.025148868560791,0,1.1159837192038917,0.37744569778442383,1.2076658546634287,716,0,0,714,1,725,715,rmpc,rmpc,RMPC,
