candidate_id,environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions
C1_FAST,71274,intercepted,1,0,0,0,100,15,7.5,85,100.0,50.0,7.613437652587891,0,1.153572803493156,0.7443528771400452,1.2392547609497253,86,0,0,84,1,100,85
C1_FAST,71275,intercepted,1,0,0,0,549,35,17.5,514,549.0,274.5,2.4967517852783203,0,1.1736313608881919,0.5509082674980164,1.2868785960604516,515,0,0,512,2,549,514
C1_FAST,71276,intercepted,1,0,0,0,874,8,4.0,866,874.0,437.0,3.677185535430908,0,1.15070638442122,0.6371404528617859,1.2413468123256424,867,0,0,865,1,874,866
C1_FAST,71277,intercepted,1,0,0,0,174,77,38.5,97,174.0,87.0,2.3688976764678955,0,1.1377566484164219,1.2297145128250122,1.2201473927827897,98,0,0,96,1,174,97
C1_FAST,71278,intercepted,1,0,0,0,196,74,37.0,122,196.0,98.0,8.648306846618652,0,1.095687137144368,0.685584306716919,1.1857599427837466,123,0,0,121,1,196,122
C1_FAST,71279,intercepted,1,0,0,0,112,11,5.5,101,112.0,56.0,2.8566174507141113,0,1.068920459452213,0.9811182618141174,1.1853701045610316,102,0,0,100,1,112,101
C1_FAST,71280,intercepted,1,0,0,0,28,10,5.0,18,28.0,14.0,8.36681842803955,0,1.3096548601200706,1.2631490230560303,1.3772278092694619,19,0,0,17,1,28,18
C1_FAST,71281,intercepted,1,0,0,0,226,12,6.0,214,226.0,113.0,3.334104061126709,0,1.2044561599576196,1.3209329843521118,1.3023941333210234,215,0,0,213,1,226,214
C1_FAST,71282,soldier_caught,0,1,0,0,298,8,4.0,290,,,1.5857187509536743,0,1.0947996430943923,1.2680479288101196,1.1871313093146265,291,0,0,289,1,298,290
C1_FAST,71283,intercepted,1,0,0,0,180,10,5.0,170,180.0,90.0,3.7195823192596436,0,1.139074432048184,2.4071156978607178,1.232928010164978,171,0,0,169,1,180,170
C1_FAST,71284,intercepted,1,0,0,0,133,12,6.0,121,133.0,66.5,5.137749671936035,0,1.0780485111181852,0.8620694279670715,1.1754031147146502,122,0,0,120,1,133,121
C1_FAST,71285,intercepted,1,0,0,0,349,14,7.0,335,349.0,174.5,7.1775336265563965,0,1.1168026859827695,1.361703634262085,1.2126095722318884,336,0,0,334,1,349,335
C1_FAST,71286,intercepted,1,0,0,0,382,9,4.5,373,382.0,191.0,2.4940712451934814,0,1.1448346299124275,0.3077744245529175,1.237568259483222,374,0,0,372,1,382,373
C1_FAST,71287,soldier_caught,0,1,0,0,36,10,5.0,26,,,1.348726749420166,0,1.0618946132836518,0.8686178922653198,1.1625432879963202,27,0,0,25,1,36,26
C1_FAST,71288,intercepted,1,0,0,0,215,10,5.0,205,215.0,107.5,2.8574459552764893,0,1.1084594463983786,2.0476982593536377,1.2056096671448189,206,0,0,204,1,215,205
C1_FAST,71289,soldier_caught,0,1,0,0,276,131,65.5,145,,,1.0580253601074219,0,1.146088842047404,0.9830085635185242,1.2504950236827348,146,0,0,144,1,276,145
C1_FAST,71290,intercepted,1,0,0,0,107,50,25.0,57,107.0,53.5,4.326009273529053,0,1.1381133454370087,1.3303898572921753,1.254697176790618,58,0,0,56,1,107,57
C1_FAST,71291,intercepted,1,0,0,0,278,36,18.0,242,278.0,139.0,4.380341053009033,0,1.098755042003506,1.5642590522766113,1.2011256088560105,243,0,0,241,1,278,242
C1_FAST,71292,soldier_caught,0,1,0,0,249,12,6.0,237,,,1.641501545906067,0,1.1083118879557157,1.5510989427566528,1.212421714724231,238,0,0,236,1,249,237
C1_FAST,71293,intercepted,1,0,0,0,98,9,4.5,89,98.0,49.0,11.997105598449707,0,1.1160421294470628,0.6844187378883362,1.209691551458629,90,0,0,88,1,98,89
C1_FAST,71294,intercepted,1,0,0,0,325,13,6.5,312,325.0,162.5,2.3729567527770996,0,1.1412358811964243,0.8458294868469238,1.242116210803161,313,0,0,311,1,325,312
C1_FAST,71295,soldier_caught,0,1,0,0,12,10,5.0,2,,,1.6187409162521362,0,1.5463094512621562,1.9162483215332031,1.5994095167687608,3,0,0,1,1,12,2
C1_FAST,71296,intercepted,1,0,0,0,546,11,5.5,535,546.0,273.0,9.532865524291992,0,1.1048416481005834,0.6422616839408875,1.198769200672122,536,0,0,533,2,546,535
C1_FAST,71297,intercepted,1,0,0,0,132,9,4.5,123,132.0,66.0,5.767547130584717,0,1.0949227975140656,0.5386537909507751,1.1984830515831042,124,0,0,122,1,132,123
C1_FAST,71298,intercepted,1,0,0,0,281,43,21.5,238,281.0,140.5,8.850428581237793,0,1.0553586503264794,0.7361544966697693,1.1494880928578863,239,0,0,237,1,281,238
C1_FAST,71299,intercepted,1,0,0,0,1199,9,4.5,1190,1199.0,599.5,2.278856039047241,0,1.130321695368446,1.1220544576644897,1.2306003795121923,1191,0,0,1188,2,1199,1190
