environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions,instance_id,instance_name,family,training_seed
77010,intercepted,1,0,0,0,360,10,5.0,350,360.0,180.0,3.4018983840942383,0,3.189880524435614,2.9632160663604736,3.441029625545147,351,0,0,284,66,360,350,rmpc,rmpc,RMPC,
77011,soldier_caught,0,1,0,0,496,17,8.5,479,,,1.9374321699142456,0,3.095654752664268,2.723040819168091,3.3544998097380487,480,0,0,388,91,496,479,rmpc,rmpc,RMPC,
77012,intercepted,1,0,0,0,137,10,5.0,127,137.0,68.5,4.1782379150390625,0,3.195734860841185,1.7843348979949951,3.4808200832576137,128,0,0,103,24,137,127,rmpc,rmpc,RMPC,
77013,intercepted,1,0,0,0,931,29,14.5,902,931.0,465.5,4.922264575958252,0,3.1120316141830595,3.9198875427246094,3.3765280300870923,903,0,0,735,167,931,902,rmpc,rmpc,RMPC,
77014,timeout,0,0,0,1,2000,10,5.0,1990,,,3.253575563430786,0,3.1536690309056232,1.2582075595855713,3.426886426293244,1991,0,0,1631,359,2000,1990,rmpc,rmpc,RMPC,
77015,intercepted,1,0,0,0,12,9,4.5,3,12.0,6.0,8.910367012023926,0,3.0912978649139404,2.323046922683716,3.1787918309702987,4,0,0,2,1,12,3,rmpc,rmpc,RMPC,
77016,soldier_caught,0,1,0,0,436,8,4.0,428,,,1.0211528539657593,0,3.238130331595183,2.410166025161743,3.498261360935238,429,0,0,353,75,436,428,rmpc,rmpc,RMPC,
77017,intercepted,1,0,0,0,162,14,7.0,148,162.0,81.0,9.37674331665039,0,3.3574196184241534,7.140383243560791,3.610117243449871,149,0,0,119,29,162,148,rmpc,rmpc,RMPC,
77018,soldier_caught,0,1,0,0,1573,77,38.5,1496,,,1.871023178100586,0,3.20405125127248,4.373167514801025,3.483292289934822,1497,0,0,1217,279,1573,1496,rmpc,rmpc,RMPC,
77019,soldier_caught,0,1,0,0,1476,8,4.0,1468,,,1.1601309776306152,0,3.236287478679617,3.214370012283325,3.5140746597163495,1469,0,0,1187,281,1476,1468,rmpc,rmpc,RMPC,
77020,timeout,0,0,0,1,2000,10,5.0,1990,,,3.659309148788452,0,3.182317080224117,0.6480498909950256,3.4557945533390857,1991,0,0,1617,373,2000,1990,rmpc,rmpc,RMPC,
77021,intercepted,1,0,0,0,1208,41,20.5,1167,1208.0,604.0,3.482140064239502,0,3.212339313228755,1.5397709608078003,3.4830000848165614,1168,0,0,926,241,1208,1167,rmpc,rmpc,RMPC,
77022,intercepted,1,0,0,0,1014,16,8.0,998,1014.0,507.0,2.042698383331299,0,3.158356832163231,2.6416594982147217,3.43361107496266,999,0,0,813,185,1014,998,rmpc,rmpc,RMPC,
